codigo,nome,municipio,uf,area
355620110,Observatório,Valinhos,SP,68.0009
3519071024,Rp 6-24,Hortolândia,SP,0.981768
3536505002,Jardim De Itapoan,Paulínia,SP,0.808537
3519071026,Rp 6-26,Hortolândia,SP,2.21108
3536505001,Nova Paulínia,Paulínia,SP,0.386199
3536505018,Balneário Tropical,Paulínia,SP,1.70656
3536505019,Nova Veneza,Paulínia,SP,1.84108
35095090,Campo Grande,Campinas,SP,47.0085
3536505021,Jardim Itapoan,Paulínia,SP,3.1602
3536505024,São Luiz,Paulínia,SP,0.12222
3519071017,Rp 5-17,Hortolândia,SP,0.450237
3519071018,Rp 5-18,Hortolândia,SP,2.54628
3533403002,Região Administrativa 02,Nova Odessa,SP,0.55581
3533403007,Região Administrativa 07,Nova Odessa,SP,0.413063
3536505008,Vila Presidente Médici,Paulínia,SP,0.0744405
3536505009,Vila José Paulino Nogueira,Paulínia,SP,0.589593
3536505029,Jardim Harmonia,Paulínia,SP,0.890817
3536505039,Jardim Flamboyant,Paulínia,SP,0.39961
3519071012,Rp 3-12,Hortolândia,SP,0.504724
3519071015,Rp 4-15,Hortolândia,SP,2.81124
3533403012,Região Administrativa 12,Nova Odessa,SP,0.566644
3533403017,Região Administrativa 17,Nova Odessa,SP,14.1888
3552403001,Ar1 - Administração Regional Do Centro,Sumaré,SP,13.329
3519071019,Rp 5-19,Hortolândia,SP,2.20044
3533403009,Região Administrativa 09,Nova Odessa,SP,0.665001
3536505020,Belvedere Do Lago,Paulínia,SP,1.1516
3536505026,Saltinho,Paulínia,SP,3.78609
355620111,Cidade,Valinhos,SP,41.5428
3536505034,Morumbi,Paulínia,SP,0.771755
355670116,Cidade,Vinhedo,SP,7.67302
355670117,Marambaia (Pinheirinho),Vinhedo,SP,16.2859
3536505025,São Domingos,Paulínia,SP,0.582505
3519071004,Rp 2-4,Hortolândia,SP,1.73245
3533403011,Região Administrativa 11,Nova Odessa,SP,1.12787
3519071016,Rp 4-16,Hortolândia,SP,4.01817
3519071022,Rp 5-22,Hortolândia,SP,1.30851
3536505028,Parque Da Figueira,Paulínia,SP,0.375409
3552403003,Ar3 - Administração Regional Do Matão,Sumaré,SP,11.3204
35095070,Taquaral,Campinas,SP,13.1911
355620112,Indústria,Valinhos,SP,19.6054
35095080,Rural (Norte Barão Geraldo),Campinas,SP,45.7284
3519071005,Rp 2-5,Hortolândia,SP,4.57484
3519071008,Rp 2-8,Hortolândia,SP,1.27552
3533403001,Região Administrativa 01,Nova Odessa,SP,1.63734
3533403005,Região Administrativa 05,Nova Odessa,SP,0.95876
3536505031,Bonfim,Paulínia,SP,32.8026
3536505033,Betel,Paulínia,SP,15.1774
3533403014,Região Administrativa 14,Nova Odessa,SP,1.07691
35095067,Amoreiras,Campinas,SP,10.0518
35095083,APA Zona Urbana (Carlos Gomes e Chácaras),Campinas,SP,4.25801
355620113,Reforma Agrária,Valinhos,SP,19.441
355670115,Represas,Vinhedo,SP,16.5368
355670119,Zona Industrial,Vinhedo,SP,17.5722
3519071020,Rp 5-20,Hortolândia,SP,0.54873
3519071027,Rp 6-27,Hortolândia,SP,3.01924
3533403008,Região Administrativa 08,Nova Odessa,SP,0.981062
3533403010,Região Administrativa 10,Nova Odessa,SP,2.06374
3533403013,Região Administrativa 13,Nova Odessa,SP,1.04211
3533403015,Região Administrativa 15,Nova Odessa,SP,0.746881
3536505010,Vila Monte Alegre,Paulínia,SP,1.6135
3519071006,Rp 2-6,Hortolândia,SP,2.69704
3536505003,Jardim Vista Alegre,Paulínia,SP,0.630907
3519071007,Rp 2-7,Hortolândia,SP,2.4738
3533403004,Região Administrativa 04,Nova Odessa,SP,1.47681
3536505005,Jardim Fortaleza,Paulínia,SP,0.975362
3536505007,Vila Bressani,Paulínia,SP,0.395655
35095082,APA Rural,Campinas,SP,197.253
3536505015,Bela Vista,Paulínia,SP,0.924061
3536505023,Dona Edith De Campos Favaro,Paulínia,SP,0.471906
3536505027,Jardim América,Paulínia,SP,1.1517
3519071009,Rp 2-9,Hortolândia,SP,3.49806
35095071,Parque Ecológico,Campinas,SP,14.7903
3536505004,Jardim Dos Calegaris,Paulínia,SP,0.580199
3536505012,Santa Terezinha,Paulínia,SP,2.91808
3536505038,São Bento,Paulínia,SP,5.69429
35095065,Flamboyant,Campinas,SP,12.5351
35095084,APA Zona Urbana (Sousas Joaquim Egídio),Campinas,SP,21.543
35095072,Ribeirão Samambaia,Campinas,SP,9.49497
35095073,Fazenda Sete Quedas,Campinas,SP,5.76386
355670118,Capela,Vinhedo,SP,9.29239
35095078,Barão Geraldo,Campinas,SP,38.3206
35095089,Ouro Verde,Campinas,SP,29.561
3519071029,Rp 6-29,Hortolândia,SP,1.83651
3519071001,Rp 1-1,Hortolândia,SP,2.06625
3519071014,Rp 3-14,Hortolândia,SP,1.2214
3536505022,Alto Pinheiros,Paulínia,SP,1.91767
3519071003,Rp 2-3,Hortolândia,SP,0.749501
35095075,Jardim Capivari,Campinas,SP,7.14308
3533403006,Região Administrativa 06,Nova Odessa,SP,0.750167
35095081,Rural (CPFL Furnas),Campinas,SP,52.1647
3536505016,Jardim Planalto,Paulínia,SP,1.43052
3536505032,Jardim Ypê,Paulínia,SP,1.19177
3536505035,Cascata,Paulínia,SP,7.87807
3536505036,Parque Brasil 500,Paulínia,SP,9.75953
3519071002,Rp 2-2,Hortolândia,SP,0.726029
3536505006,Santa Cecília,Paulínia,SP,1.00384
3536505017,João Aranha,Paulínia,SP,7.85963
3536505030,Boa Esperança,Paulínia,SP,3.7153
3536505037,Parque Bom Retiro,Paulínia,SP,3.84398
3519071025,Rp 6-25,Hortolândia,SP,2.16498
35095074,Jardim do Trevo,Campinas,SP,13.4509
3533403003,Região Administrativa 03,Nova Odessa,SP,2.02039
3519071010,Rp 3-10,Hortolândia,SP,6.26714
3519071011,Rp 3-11,Hortolândia,SP,2.73111
3552403005,Ar5 - Administração Regional Do Maria Antônia,Sumaré,SP,8.94973
3519071013,Rp 3-13,Hortolândia,SP,1.01257
35095064,Centro,Campinas,SP,6.8845
3519071021,Rp 5-21,Hortolândia,SP,0.465255
35095066,Swift,Campinas,SP,13.5912
35095079,Alphavile Campinas,Campinas,SP,22.7082
35095085,Rural Bandeirantes (Pedra Branca),Campinas,SP,46.8219
355670114,Observatório,Vinhedo,SP,14.2438
3536505011,Jardim N. S. Aparecida,Paulínia,SP,0.398413
