codigo,nome,categoria,faixa_preco,endereco,municipio,uf,codigo_bairro
431962533652067,Boizão Lanches,Bar,2,13190-000 Monte Mor,Monte Mor,SP,
1663855903830869,Bar do Serjão,Bar,0,"Rua das Dracenas, Americana",Americana,SP,
567824576564110,Recanto Do Kuca,Restaurant,0,Jarinu,Jarinu,SP,
202740866540615,Dedé Abelhuda,Grocery Store,0,"SP, 13150000 Cosmópolis",Cosmópolis,SP,
1784900838394305,Tenshi Sushi Boteco Itu,Sushi Restaurant,3,"Av. Plaza, 170, 13302-100 Itu",Itu,SP,
1539938616222537,Delicias de mãe,"Restaurant, Other",1,Itatiba,Itatiba,SP,
315940385145609,ChokoLipe,Grocery Store,0,13315000 Cabreúva,Cabreúva,SP,
294588290644303,O RANCHOo,Pub,0,"Um dilema., 13253-232 Itatiba",Itatiba,SP,
858228024202335,Kentinhas Já,Grocery Store,0,"Centro, 13910000 Monte Alegre do Sul",Monte Alegre do Sul,SP,
1448899308695469,Sabores da Malu,Restaurant,0,"Rua João XXIII, 13321-310 Salto",Salto,SP,
1526789390972409,Marcia Panelas,Restaurant,1,"rua nicaragua, 13483508 Limeira",Limeira,SP,
1700971296862600,TajMahal,Bar,1,"Rua: itapiru 74, 13320030 Salto",Salto,SP,
180052602330227,Taberna dos Amigos,"Beer Bar, Event",2,Indaiatuba,Indaiatuba,SP,
247537718658995,Hotel Paradies Jarinu,"Restaurant, Hotel Resort",2,"Alameda Curitiba, 111, 13240 Jarinu",Jarinu,SP,
1370839242950091,Botequim do Corcovado,"Pub, Just For Fun",2,"Rua Vinte e Três de Maio, 310, 13320010 Salto",Salto,SP,
448609401834009,Chopperia Paraty,"Restaurant, Beer Garden",1,"Avenida Dr. Carlos Burgos, 1630, 13901-350 Amparo, Sao Paulo, Brazil",Amparo,SP,
171694049632611,Pedreira/SP - Portal Do Circuito Das Águas,"Beer Garden, Park, City",1,"marajoara rua luis francisco baseio, 13920-000 Pedreira",Pedreira,SP,
897582570307030,Bar Do Esquilo,Pub,3,"Av.projetada 1, 13481-474 Limeira",Limeira,SP,
307825862726195,Santo Rango - Food Truck,"Food Truck, Fast Food Restaurant",2,"Outlet Premium São Paulo, 13295-000 São Paulo",São Paulo,SP,
919071714892787,Decol Lanches Hamburgueria E Açaiteria,"Burger Restaurant, Cafeteria",1,"Rua Tarumã N 79  Jd América 4.Varzea Paulista, 13220480 Várzea Paulista",Várzea Paulista,SP,
176448962688007,Banca Da Rosana Rosana pastéis,"Cafeteria, Residence",1,"Rua Maximo Panzarin, 42 Vila Belém, 13256311 Itatiba",Itatiba,SP,
1701776600148926,Don Angello Choperia e Lanchonete,"Bar, Cafeteria, Restaurant",4,"João Martini Nº 2179 Jardim Morada do Sol, 13470-280 Indaiatuba",Indaiatuba,SP,
227836421001826,Brutus Lanches,"Burger Restaurant, Cafeteria",2,"Rua dos Cravos 1310, 13467-180 Americana",Americana,SP,
709281322592418,Container's Beer,Bar,4,"Avenida Papa João XXIII, 686 - Cetro, 13920-000 Pedreira",Pedreira,SP,
573796882731382,Lojinha BIMBO Indaiatuba,"Grocery Store, Shopping & Retail",1,"Rua João Martini, 2333, 13348-350 Indaiatuba",Indaiatuba,SP,
